Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1523469011230,14699040959891,-0.017715093,-0.0049043754,-0.035168383
android.sensor.gyroscope,1523469011250,14699060952079,0.0,0.0,0.0
android.sensor.gyroscope,1523469011270,14699080973954,0.0,0.0,0.0
android.sensor.gyroscope,1523469011290,14699100964579,-0.020717058,0.007347836,-0.032986723
android.sensor.gyroscope,1523469011310,14699120955204,-0.030264009,0.010629055,-0.046076693
android.sensor.gyroscope,1523469011330,14699140977079,0.0,0.0,0.0
android.sensor.gyroscope,1523469011350,14699160969266,0.0,0.0,0.0
android.sensor.gyroscope,1523469011370,14699180959891,-0.025900686,0.026441738,-0.013892821
android.sensor.gyroscope,1523469011390,14699200950516,-0.049898963,0.040352013,-0.023998277
android.sensor.gyroscope,1523469011411,14699220972391,-0.040893063,0.03544764,-0.014992379
android.sensor.gyroscope,1523469011431,14699240963016,-0.03598869,0.036808994,-0.022357667
android.sensor.gyroscope,1523469011451,14699260953641,0.0,0.0,0.0
android.sensor.gyroscope,1523469011471,14699280977079,-0.025359634,0.028902652,-0.008988446
android.sensor.gyroscope,1523469011491,14699300967704,-0.041992623,0.03408628,-0.014992379
android.sensor.gyroscope,1523469011511,14699320958329,-0.03544764,0.042812925,0.00816814
android.sensor.gyroscope,1523469011531,14699340980204,-0.038449604,0.040893063,0.0035430184
android.sensor.gyroscope,1523469011550,14699360972391,0.0,0.0,0.0
android.sensor.gyroscope,1523469011571,14699380963016,-0.01881465,0.038711403,0.053162728
android.sensor.gyroscope,1523469011591,14699400953641,-0.020176006,0.055902895,0.07553785
android.sensor.gyroscope,1523469011611,14699420975516,-0.025621433,0.1437104,0.36706018
android.sensor.gyroscope,1523469011631,14699440967704,-0.038711403,0.27406904,0.8099375
android.sensor.gyroscope,1523469011651,14699460958329,-0.014172073,0.46986008,1.3932614
android.sensor.gyroscope,1523469011671,14699480980204,0.040893063,0.61877155,1.8113202
android.sensor.gyroscope,1523469011691,14699500970829,0.092170835,0.74202675,2.1502979
